OID_,gasht_name_str,ZONE_CODE,COUNT,AREA,MEDIAN
358,11519,358,83.000000000000000,74700.000000000000000,0.031735062599182
359,15437,359,73.000000000000000,65700.000000000000000,0.176212877035141
360,14378,360,1100.000000000000000,990000.000000000000000,0.099316805601120
361,11968,361,92.000000000000000,82800.000000000000000,0.033977847546339
362,13699,362,250.000000000000000,225000.000000000000000,0.029500928707421
363,14967,363,3374.000000000000000,3036600.000000000000000,0.146709263324738
364,15169,364,116.000000000000000,104400.000000000000000,0.079032599925995
365,16897,365,1839.000000000000000,1655100.000000000000000,0.186383709311485
366,13178,366,387.000000000000000,348300.000000000000000,0.037031274288893
367,14979,367,13465.000000000000000,12118500.000000000000000,0.054162699729204
368,15948,368,99.000000000000000,89100.000000000000000,0.038308855146170
369,19938,369,297.000000000000000,267300.000000000000000,0.078423827886581
370,11659,370,109.000000000000000,98100.000000000000000,0.011676989495754
371,17417,371,144.000000000000000,129600.000000000000000,0.032834189012647
372,16168,372,145.000000000000000,130500.000000000000000,0.024647273123264
373,16778,373,477.000000000000000,429300.000000000000000,0.033799950033426
374,17996,374,143.000000000000000,128700.000000000000000,0.038390226662159
375,14346,375,176.000000000000000,158400.000000000000000,0.053535308688879
376,11939,376,113.000000000000000,101700.000000000000000,0.030906416475773
377,16388,377,157.000000000000000,141300.000000000000000,0.026501435786486
378,13119,378,65.000000000000000,58500.000000000000000,0.020083274692297
379,16618,379,491.000000000000000,441900.000000000000000,0.093249879777431
380,13966,380,153.000000000000000,137700.000000000000000,0.083102397620678
381,14986,381,299.000000000000000,269100.000000000000000,0.059001754969358
382,15837,382,139.000000000000000,125100.000000000000000,0.088834948837757
383,13549,383,107.000000000000000,96300.000000000000000,0.019526381045580
384,13387,384,123.000000000000000,110700.000000000000000,0.033352565020323
385,17378,385,131.000000000000000,117900.000000000000000,0.043676383793354
386,13148,386,76.000000000000000,68400.000000000000000,0.026084853336215
387,17146,387,236.000000000000000,212400.000000000000000,0.043107042089105
388,19189,388,139.000000000000000,125100.000000000000000,0.049680784344673
389,13597,389,362.000000000000000,325800.000000000000000,0.031648803502321
390,14488,390,188.000000000000000,169200.000000000000000,0.058248134329915
391,15857,391,102.000000000000000,91800.000000000000000,0.034288462251425
392,15646,392,78.000000000000000,70200.000000000000000,0.033585010096431
393,14686,393,521.000000000000000,468900.000000000000000,0.069632209837437
394,14336,394,131.000000000000000,117900.000000000000000,0.047049164772034
395,13158,395,109.000000000000000,98100.000000000000000,0.024286940693855
396,16656,396,469.000000000000000,422100.000000000000000,0.075779296457767
397,11777,397,69.000000000000000,62100.000000000000000,0.024701317772269
398,16879,398,2883.000000000000000,2594700.000000000000000,0.197410479187965
399,16158,399,128.000000000000000,115200.000000000000000,0.026849705725908
400,14466,400,112.000000000000000,100800.000000000000000,0.030928893946111
401,17358,401,2021.000000000000000,1818900.000000000000000,0.081988237798214
402,19767,402,241.000000000000000,216900.000000000000000,0.148483097553253
403,15457,403,31.000000000000000,27900.000000000000000,0.079699620604515
404,19947,404,151.000000000000000,135900.000000000000000,0.062868647277355
405,11439,405,83.000000000000000,74700.000000000000000,0.011842492036521
406,13698,406,264.000000000000000,237600.000000000000000,0.030461524613202
407,17738,407,108.000000000000000,97200.000000000000000,0.036707358434796
408,15146,408,82.000000000000000,73800.000000000000000,0.034757984802127
409,16186,409,107.000000000000000,96300.000000000000000,0.027000373229384
410,13188,410,497.000000000000000,447300.000000000000000,0.036536540836096
